scene_id,title,start_timecode,end_timecode,duration_seconds,voice_reference
S01,COLD OPEN: CHO XEM THÀNH QUẢ TRƯỚC,00:00.000,00:25.000,25.000,CUE_S01
S02,NỐI TRỰC TIẾP VỚI VIDEO 01,00:25.000,00:50.000,25.000,CUE_S02
S03,ĐẶT CÂU HỎI QUAN TRỌNG NHẤT,00:50.000,01:12.000,22.000,CUE_S03
S04,VIẾT PHIÊN BẢN “NGÂY THƠ” NHẤT,01:12.000,01:35.000,23.000,CUE_S04
S05,“CHẠY ĐƯỢC” KHÔNG CÓ NGHĨA LÀ “THIẾT KẾ ĐƯỢC”,01:35.000,02:00.000,25.000,CUE_S05
S06,VẤN ĐỀ 1: PROVIDER COUPLING,02:00.000,02:25.000,25.000,CUE_S06
S07,TẠO NGUYÊN TẮC ĐẦU TIÊN,02:25.000,02:50.000,25.000,CUE_S07
S08,CHƯA CODE VỘI: ĐỊNH NGHĨA BOUNDARY,02:50.000,03:07.000,17.000,CUE_S08
S09,TẠO REPOSITORY,03:07.000,03:32.000,25.000,CUE_S09
S10,TẠI SAO REPOSITORY NÀY CỐ Ý RẤT NHỎ?,03:32.000,03:57.000,25.000,CUE_S10
S11,VẤN ĐỀ 2: MESSAGE LÀ GÌ?,03:57.000,04:22.000,25.000,CUE_S11
S12,TẠO `Message`,04:22.000,04:45.000,23.000,CUE_S12
S13,TẠI SAO `frozen=True`?,04:45.000,05:10.000,25.000,CUE_S13
S14,NHƯNG ĐỪNG OVERENGINEER MESSAGE,05:10.000,05:35.000,25.000,CUE_S14
S15,VẤN ĐỀ 3: CONFIGURATION ĐANG NẰM Ở ĐÂU?,05:35.000,05:58.000,23.000,CUE_S15
S16,TẠO `AgentConfig`,05:58.000,06:12.000,14.000,CUE_S16
S17,TẠI SAO TÁCH CONFIG RA KHỎI AGENT?,06:12.000,06:36.000,24.000,CUE_S17
S18,RETENTION HOOK: CHÚNG TA ĐÃ TẠO HAI CLASS NHƯNG CHƯA CÓ AGENT,06:36.000,06:59.000,23.000,CUE_S18
S19,VẤN ĐỀ 4: AGENT NÊN PHỤ THUỘC VÀO CÁI GÌ?,06:59.000,07:15.000,16.000,CUE_S19
S20,ĐỊNH NGHĨA `LLMClient`,07:15.000,07:29.000,14.000,CUE_S20
S21,GIẢI THÍCH `Protocol` KHÔNG SA ĐÀ,07:29.000,07:54.000,25.000,CUE_S21
S22,ĐIỂM NHẤN KIẾN TRÚC,07:54.000,08:18.000,24.000,CUE_S22
S23,GIẢI THÍCH BẰNG THÍ NGHIỆM THAY PROVIDER,08:18.000,08:34.000,16.000,CUE_S23
S24,VẤN ĐỀ 5: LÀM SAO TEST?,08:34.000,08:59.000,25.000,CUE_S24
S25,TẠO FAKE LLM,08:59.000,09:20.000,21.000,CUE_S25
S26,CHẠY FAKE TRƯỚC KHI TẠO AGENT,09:20.000,09:34.000,14.000,CUE_S26
S27,CUỐI CÙNG TẠO `Agent`,09:34.000,09:49.000,15.000,CUE_S27
S28,DEPENDENCY INJECTION BẰNG NGÔN NGỮ ĐƠN GIẢN,09:49.000,10:14.000,25.000,CUE_S28
S29,AGENT NHẬN USER INPUT,10:14.000,10:32.000,18.000,CUE_S29
S30,AGENT KHÔNG GỬI RAW STRING THẲNG ĐẾN LLM,10:32.000,10:57.000,25.000,CUE_S30
S31,GIẢI THÍCH SYSTEM MESSAGE,10:57.000,11:20.000,23.000,CUE_S31
S32,GIẢI THÍCH USER MESSAGE,11:20.000,11:38.000,18.000,CUE_S32
S33,GỌI `LLMClient`,11:38.000,11:54.000,16.000,CUE_S33
S34,CHẠY TOÀN BỘ VỚI FAKE LLM,11:54.000,12:09.000,15.000,CUE_S34
S35,TEST 1: OUTPUT,12:09.000,12:23.000,14.000,CUE_S35
S36,TEST 2: AGENT CÓ GỬI ĐÚNG MESSAGE KHÔNG?,12:23.000,12:41.000,18.000,CUE_S36
S37,TEST 3: CONFIG ĐƯỢC FORWARD ĐÚNG,12:41.000,13:03.000,22.000,CUE_S37
S38,CHẠY TEST,13:03.000,13:23.000,20.000,CUE_S38
S39,BÂY GIỜ MỚI KẾT NỐI PROVIDER THẬT,13:23.000,13:42.000,19.000,CUE_S39
S40,PROVIDER ADAPTER LÀM GÌ?,13:42.000,14:02.000,20.000,CUE_S40
S41,ĐIỂM NHẤN: PROVIDER OBJECT KHÔNG ĐƯỢC RÒ RỈ VÀO CORE,14:02.000,14:22.000,20.000,CUE_S41
S42,API KEY,14:22.000,14:47.000,25.000,CUE_S42
S43,PHÂN BIỆT CONFIG VÀ SECRET,14:47.000,15:05.000,18.000,CUE_S43
S44,KHỞI TẠO PROVIDER,15:05.000,15:19.000,14.000,CUE_S44
S45,COMPOSITION ROOT,15:19.000,15:41.000,22.000,CUE_S45
S46,CHẠY REQUEST THẬT ĐẦU TIÊN,15:41.000,15:55.000,14.000,CUE_S46
S47,KHÔNG ĂN MỪNG QUÁ SỚM,15:55.000,16:20.000,25.000,CUE_S47
S48,TRACE MỘT REQUEST TỪ ĐẦU ĐẾN CUỐI,16:20.000,16:45.000,25.000,CUE_S48
S49,CÂU HỎI GÂY TRANH LUẬN: ĐÂY CÓ PHẢI AGENT KHÔNG?,16:45.000,17:02.000,17.000,CUE_S49
S50,TRẢ LỜI RÕ RÀNG,17:02.000,17:27.000,25.000,CUE_S50
